ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"190.2.215.230","elite","AS262186","CO","TV AZTECA SUCURSAL COLOMBIA","138","TV AZTECA SUCURSAL COLOMBIA","5678","socks4","49","295","2021-08-31T11:01:30.879Z","100","1","1"
"185.94.218.57","elite","AS43880","UA","LITECH-ISP","174","LITech LTD","44421","socks4","34","1","2021-08-31T11:01:30.205Z","100","1","1"
"103.83.188.86","elite","AS136210","MM","IT Spectrum Company Limited","215","N/A","5678","socks4","59","30002","2021-08-31T11:01:29.913Z","100","1","1"
"200.119.198.214","elite","AS25620","BO","Cotas Ltda.","188","Conta OIL GAS Service SRL","5678","socks4","35","394","2021-08-31T11:01:29.021Z",,,
"93.73.105.61","elite","AS25229","UA","Volia Kiev","195","N/A","5678","socks4","33","5001","2021-08-31T11:01:29.373Z",,,
"103.131.145.236","elite","AS138362","BD","Plexus Cloud","279","Plexus Cloud","5678","socks4","56","N/A","2021-08-31T11:01:29.434Z",,,
"200.125.239.178","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","129","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","38","N/A","2021-08-31T11:01:29.694Z",,,
"85.105.35.29","elite","AS47331","TR","TurkTelecom","N/A","Turk Telekomunikasyon A.S","5678","socks4","49","584","2021-08-31T11:01:29.937Z","0","0","1"
"103.134.116.18","elite","AS133973","IN","Gmr Digital","265","N/A","5678","socks4","75","538","2021-08-31T11:01:29.803Z","100","1","1"
"103.101.253.27","elite","AS137013","BD","Manor IT Ltd","262","Manor IT Ltd","5678","socks4","42","1","2021-08-31T11:01:29.536Z","100","1","1"
"41.90.17.38","elite","AS33771","KE","Safaricom Limited","345","Safaricom Limited","5678","socks4","56","1017","2021-08-31T11:01:29.473Z","100","1","1"
"200.116.198.177","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P","115","Mpio Manizales","32072","socks4","57","256","2021-08-31T11:01:29.030Z","100","1","1"
"185.66.59.221","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","169","Svint","42647","socks4","62","1","2021-08-31T11:01:29.537Z","100","1","1"
"185.34.22.99","elite","AS47895","RU","LTD \"Erline\"","224","LTD \"Rline\"","5678","socks4","44","583","2021-08-31T11:01:29.626Z","100","1","1"
"36.92.143.185","elite","AS7713","ID","Telekomunikasi Indonesia","263","Temporary","4153","socks4","62","521","2021-08-31T11:01:29.260Z","100","1","1"
"93.171.224.48","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","176","PE TV and Radio Company Kentavr-TV","4153","socks4","37","30039","2021-08-31T11:01:29.928Z","100","1","1"
"177.126.7.230","elite","AS22381","BR","Megatelecom Telecomunicacoes Ltda","183","Solar Group do Brasil Eireli","5678","socks4","60","931","2021-08-31T11:01:29.097Z","100","1","1"
"176.36.20.67","elite","AS39608","UA","Lanet Network","189","Lanet Network Ltd","35356","socks4","40","407","2021-08-31T11:01:29.774Z","100","1","1"
"177.128.115.228","elite","AS269988","CL","Binet Networking Data Limitada","155","Binet Networking Data Limitada","4153","socks4","51","30007","2021-08-31T11:01:29.256Z","100","1","1"
"176.98.75.237","elite","AS41096","UA","TOV TV&Radio Company 'TIM'","186","TOV TV&Radio Company 'TIM'","5678","socks4","45","462","2021-08-31T11:01:29.934Z","100","1","1"
"163.53.196.190","elite","AS9902","KH","NeocomISP Limited","185","NeocomISP Limited","5678","socks4","35","1","2021-08-31T11:01:29.173Z","100","1","1"
