ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"78.92.254.121","elite","AS5483","HU","Magyar Telekom","186","N/A","53718","socks4","48","1395","2021-08-31T11:00:34.386Z","100","1","1"
"91.240.106.106","elite","AS43073","PL","AR-WO","207","Danar Wojtysiak Sp. J","5678","socks4","36","1180","2021-08-31T11:00:34.609Z","100","1","1"
"103.84.61.14","elite","AS59162","IN","Hifi Broadband Pvt. Ltd","260","Hifi Broadband Pvt. Ltd.","5678","socks4","48","566","2021-08-31T11:00:33.018Z",,,
"202.182.55.250","elite","AS38511","ID","PT Remala Abadi","202","N/A","5678","socks4","41","N/A","2021-08-31T11:00:33.290Z",,,
"67.209.193.96","elite","AS21782","US","Plateau Telecommunications Incorporated","38","Plateau Telecommunications Incorporated","5678","socks4","57","84","2021-08-31T11:00:33.133Z","100","1","1"
"77.104.243.183","elite","AS39906","CZ","CoProSys a.s.","155","CoProSys a.s.","5678","socks4","35","326","2021-08-31T11:00:33.728Z","100","1","1"
"102.69.165.202","elite","AS328436","TZ","Maas Computers and Networks Ltd","276","Flashnet","5678","socks4","53","562","2021-08-31T11:00:33.699Z","100","1","1"
"190.181.213.231","elite","AS20299","HN","Newcom Limited","124","Millicom Cable Honduras S.A. de C.V","5678","socks4","67","644","2021-08-31T11:00:33.492Z","100","1","1"
"216.98.212.223","elite","AS266192","BR","LP PROVEDORA DE INTERNET E INSTALAÔÔES DE REDES TE","192","LP PROVEDORA DE INTERNET E INSTALAÇÕES DE REDES TE","5678","socks4","67","408","2021-08-31T11:00:33.643Z","100","1","1"
"2.184.217.12","elite","AS58224","IR","Iran Telecommunication Company PJS","265","Tcho DSL","5678","socks4","34","644","2021-08-31T11:00:33.258Z","100","1","1"
"200.105.169.211","elite","AS26210","BO","AXS Bolivia S. A.","155","AXS Bolivia S. A","5678","socks4","62","311","2021-08-31T11:00:33.857Z","100","1","1"
"138.59.222.13","elite","AS264127","BR","EMITEL - Empresa de Informatica e Telecom. LTDA","193","EMITEL - Empresa de Informatica e Telecom. LTDA","5678","socks4","38","7507","2021-08-31T11:00:33.107Z","100","1","1"
"102.36.160.205","elite","AS328528","NG","NetIT Solutions LTD","263","Netit","5678","socks4","51","1","2021-08-31T11:00:33.074Z","100","1","1"
"190.210.146.6","elite","AS16814","AR","NSS S.A.","234","NSS S.A","5678","socks4","55","504","2021-08-31T11:00:33.723Z","100","1","1"
"79.175.104.37","elite","AS9125","RS","Orion Telekom ISP IP Network","192","N/A","1080","socks4","34","388","2021-08-31T11:00:33.221Z","100","1","1"
"41.169.145.194","elite","AS36937","ZA","Liquid Telecommunications South Africa (Pty) Ltd","302","Liquid Telecommunications Operations Limited","5678","socks4","46","1","2021-08-31T11:00:33.955Z","100","1","1"
"154.113.86.17","elite","AS37282","NG","Mainone Cable Company","237","MaiOne SME","5678","socks4","49","30019","2021-08-31T11:00:35.134Z","100","1","1"
"103.92.161.86","elite","AS136556","BD","Dhaka Fiber Net Ltd","239","Dhaka Fiber Net Ltd.","5678","socks4","36","492","2021-08-31T11:00:33.202Z","100","1","1"
"177.128.115.236","elite","AS269988","CL","Binet Networking Data Limitada","156","Binet Networking Data Limitada","4153","socks4","46","30002","2021-08-31T11:00:33.986Z","100","1","1"
"118.70.81.207","elite","AS18403","VN","Vietnam Internet Network Information Center","186","FPT Telecom Company","4153","socks4","62","30009","2021-08-31T11:00:35.476Z","100","1","1"
"202.150.152.123","elite","AS23949","ID","PT Comtronics Systems","196","N/A","8291","socks4","35","1347","2021-08-31T11:00:32.315Z",,,
"113.212.110.26","elite","AS136224","BD","City Online Ltd","N/A","City Online Ltd.","5678","socks4","61","1","2021-08-31T11:00:32.814Z","0","0","1"
"36.89.244.94","elite","AS7713","ID","PT. Telekomunikasi Indonesia","1166","Telekomunikasi Indonesia","5678","socks4","35","5488","2021-08-31T11:00:32.867Z","100","1","1"
"201.131.214.8","elite","AS61800","BR","Utinga Net","221","N/A","5678","socks4","39","30017","2021-08-31T11:00:32.889Z","100","1","1"
"190.149.216.74","elite","AS14754","GT","Telgua","175","Telgua","48344","socks4","64","30004","2021-08-31T11:00:34.082Z","100","1","1"
"190.205.99.186","elite","AS8048","VE","CANTV Servicios, Venezuela","152","CANTV Servicios, Venezuela","5678","socks4","42","1","2021-08-31T11:00:32.950Z","100","1","1"
"186.211.110.33","elite","AS53062","BR","GGNET TELECOMUNICAÔÔES LTDA","180","GGNET TELECOMUNICAÇÕES LTDA","5678","socks4","70","7589","2021-08-31T11:00:32.082Z","100","1","1"
"187.62.194.226","elite","AS262617","BR","UWBR VOX TelecomunicaÔÔes S/A","209","UWBR VOX Telecomunicações S/A","5678","socks4","54","414","2021-08-31T11:00:32.869Z","100","1","1"
"150.107.207.137","elite","AS58504","NP","Techminds Network Pvt. Ltd","289","N/A","57230","socks4","36","1600","2021-08-31T11:00:32.371Z","100","1","1"
"103.117.108.25","elite","AS137935","BD","I Link Internet Service (I.T)","277","I Link Internet Service (I.T)","4153","socks4","46","1","2021-08-31T11:00:32.979Z","100","1","1"
"91.185.44.106","elite","AS8345","RU","Delovaya Set' - Irkutsk","231","N/A","5678","socks4","50","535","2021-08-31T11:00:32.190Z","100","1","1"
"92.249.98.58","elite","AS29107","UA","Private \"Stock company \"Sater\"","196","SYNAPSE","5678","socks4","34","406","2021-08-31T11:00:32.945Z","100","1","1"
"103.82.11.209","elite","AS136156","BD","FNF Online","243","N/A","4153","socks4","37","3501","2021-08-31T11:00:32.546Z","100","1","1"
"2.188.162.10","elite","AS42337","IR","Respina","223","N/A","5678","socks4","44","511","2021-08-31T11:00:32.570Z","100","1","1"
"38.140.231.10","elite","AS174","US","Cogent Communications","80","Cogent communications - IPENG","8841","socks4","34","1","2021-08-31T11:00:32.924Z","100","1","1"
"190.110.99.218","elite","AS7049","CL","Silica Networks Argentina S.A.","231","Silica Networks Chile S.A","5678","socks4","35","488","2021-08-31T11:00:32.454Z","100","1","1"
"187.102.142.66","elite","AS17222","BR","Mundivox LTDA","193","Mundivox LTDA","5678","socks4","35","394","2021-08-31T11:00:32.821Z","100","1","1"
"186.65.104.50","elite","AS266142","BR","Bahiadados Telecom Ltda.","172","Bahiadados Telecom Ltda","5678","socks4","61","1","2021-08-31T11:00:32.298Z","100","1","1"
"79.175.107.169","elite","AS9125","RS","Orion Telekom ISP IP Network","178","N/A","1080","socks4","36","386","2021-08-31T11:00:32.056Z","100","1","1"
"105.174.40.238","elite","AS37119","AO","UNITEL SA","N/A","UnitelNetworkPool4","5678","socks4","52","N/A","2021-08-31T11:00:31.495Z",,,
"154.0.10.94","elite","AS37680","ZA","Cisp IP2","297","N/A","5678","socks4","35","601","2021-08-31T11:00:31.398Z","100","1","1"
