ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"117.196.235.194","elite","AS9829","IN","Bharat Sanchar Nigam Ltd","389","BSNL BBoWIFI services","5678","socks4","38","649","2021-08-31T11:25:51.262Z"
"218.75.69.50","elite","AS4134","CN","Chinanet","143","Hangzhou Jiayuan Netbar","56430","socks4","36","5001","2021-08-31T11:25:50.049Z"
"117.242.38.82","elite","AS9829","IN","BSNL Internet","302","N/A","5678","socks4","35","5001","2021-08-31T11:25:49.411Z"
"114.69.244.66","elite","AS18002","IN","World Phone Internet Service Pvt. Ltd.","262","N/A","60616","socks4","37","N/A","2021-08-31T11:25:48.218Z"
"115.124.92.2","elite","AS38511","ID","PT Remala Abadi","200","N/A","5678","socks4","35","5001","2021-08-31T11:25:45.597Z"
"43.251.97.20","elite","AS132641","ID","NETCITI","201","N/A","5678","socks4","45","5001","2021-08-31T11:25:43.256Z"
"117.212.194.122","elite","AS9829","IN","BSNL Internet","277","N/A","5678","socks4","35","5006","2021-08-31T11:25:43.410Z"
"216.244.194.170","elite","AS10617","AR","Sion S.A","195","Sinectis S.A","5678","socks4","36","5001","2021-08-31T11:25:42.811Z"
"103.101.81.180","elite","AS137236","KH","Turbotech CO.","195","TBT TKT","5678","socks4","35","398","2021-08-31T11:25:39.909Z"
"103.105.80.133","elite","AS17451","ID","Biznet Networks","208","PT Dinamika Raya Prima","5678","socks4","35","703","2021-08-31T11:25:38.842Z"
"43.252.106.58","elite","AS45305","ID","PT Lintas Data Prima","205","N/A","4153","socks4","34","N/A","2021-08-31T11:25:37.500Z"
"217.21.217.105","elite","AS28775","RU","AO Transtelecom","212","N/A","4153","socks4","35","N/A","2021-08-31T11:25:37.107Z"
"117.222.61.68","elite","AS9829","IN","BSNL Internet","263","N/A","5678","socks4","35","N/A","2021-08-31T11:25:36.031Z"
"213.128.70.172","elite","AS42926","TR","Radore Veri Merkezi Hizmetleri A.S.","199","N/A","5678","socks4","36","N/A","2021-08-31T11:25:36.142Z"
"45.221.75.134","elite","AS37027","UG","Simbanet (U) 4","312","N/A","5678","socks4","34","N/A","2021-08-31T11:25:36.579Z"
"222.165.214.92","elite","AS24207","ID","PT NettoCyber Indonesia","183","N/A","5678","socks4","38","5001","2021-08-31T11:25:35.248Z"
