ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"93.184.10.227","elite","AS47253","PS","BCI Telecommunication & Advanced Technology Company","208","BNET network","5678","socks4","87","N/A","2021-08-31T11:01:07.555Z"
"82.137.244.91","elite","AS29256","SY","ISP-TARASSUL","263","N/A","5678","socks4","35","519","2021-08-31T11:01:07.777Z"
"178.33.14.216","elite","AS16276","FR","OVH SAS","144","VPSGroups Inc","9999","socks4","34","1","2021-08-31T11:01:07.332Z"
"103.122.169.65","elite","AS138293","IN","Spacetrade Internet Pvt Ltd","260","Spacetrade Internet Pvt Ltd","5678","socks4","36","30002","2021-08-31T11:01:07.584Z"
"114.130.85.30","elite","AS17806","BD","Mango Teleservices Limited","251","Mango Teleservices Limited","5678","socks4","36","1","2021-08-31T11:01:07.594Z"
"79.140.152.180","elite","AS31042","ME","Serbia BroadBand-Srpske Kablovske mreze d.o.o.","192","Telemach","5678","socks4","52","385","2021-08-31T11:01:07.414Z"
"113.74.26.115","elite","AS136198","CN","CHINANET Guangdong province Yuexi MAN network","172","Chinanet GD","4145","socks4","50","349","2021-08-31T11:01:07.247Z"
"210.210.136.182","elite","AS4787","ID","PT. Cyberindo Aditama","203","N/A","5678","socks4","42","828","2021-08-31T11:01:07.963Z"
"36.92.104.133","elite","AS7713","ID","Telekomunikasi Indonesia","1782","Temporary","5678","socks4","36","2319","2021-08-31T11:01:07.584Z"
"185.66.58.146","elite","AS200509","ES","Solucions Valencianes i Noves Tecnologies SL","173","Solucions Valencianes i Noves Tecnologies SL","42647","socks4","83","342","2021-08-31T11:01:07.425Z"
"103.76.173.226","elite","AS9341","ID","ICONPLN","212","N/A","5678","socks4","53","437","2021-08-31T11:01:07.846Z"
"103.130.143.94","elite","AS138340","KH","Esurfing Technology Co.ltd","191","Esurfing Technology Co.ltd","5678","socks4","45","375","2021-08-31T11:01:07.900Z"
"5.83.104.147","elite","AS198898","IT","Seta S.R.L.","175","Seta S.R.L","4153","socks4","38","1","2021-08-31T11:01:07.937Z"
"119.252.168.34","elite","AS9341","ID","PT Indonesia Comnets Plus","237","N/A","5678","socks4","36","729","2021-08-31T11:01:07.225Z"
"47.119.117.201","elite","AS37963","CN","Addresses CNNIC","164","Aliyun Computing Co., LTD","6111","socks4","39","167","2021-08-31T11:01:07.699Z"
"92.42.8.5","elite","AS44963","RU","KMVtelecom","217","JSC PP Potok","4145","socks4","64","1451","2021-08-31T11:01:07.993Z"
"190.189.234.112","elite","AS7303","AR","Telecom Argentina S.A.","178","Telecom Argentina S.A","5678","socks4","35","374","2021-08-31T11:01:07.500Z"
"177.105.68.204","elite","AS262637","BR","Netprimus Tecnologia Ltda","148","Netprimus Tecnologia Ltda","4153","socks4","60","30003","2021-08-31T11:01:06.585Z"
"83.19.207.150","elite","AS5617","PL","Orange Polska Spolka Akcyjna","181","Orange Polska S.A.","5678","socks4","46","977","2021-08-31T11:01:06.340Z"
"92.62.67.68","elite","AS29061","KG","Saimanet Telecomunications","242","Saimanet","5678","socks4","35","5006","2021-08-31T11:01:06.500Z"
"46.30.67.34","elite","AS28905","CZ","BECO Link s.r.o","163","N/A","5678","socks4","34","360","2021-08-31T11:01:06.279Z"
"47.106.238.117","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","163","Aliyun Computing Co., LTD","6111","socks4","76","1","2021-08-31T11:01:06.745Z"
"14.162.144.143","elite","AS45899","VN","VNPT-VNNIC","177","VietNam Post and Telecom Corporation","5678","socks4","74","355","2021-08-31T11:01:06.715Z"
"177.66.112.221","elite","AS262494","BR","Virtex Ltda","188","Virtex Ltda","38600","socks4","60","15735","2021-08-31T11:01:06.012Z"
