ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"37.26.86.206","elite","AS198279","AL","ATU","192","N/A","4145","socks4","35","392","2021-08-31T11:02:54.440Z","100","1","1"
"138.36.199.114","elite","AS264586","BR","Speed Telecomunicacoes","178","Speed Telecomunicacoes","5678","socks4","34","389","2021-08-31T11:02:54.282Z","100","1","1"
"91.222.66.12","elite","AS8870","UA","Overseas Technologies LLC","197","OVDC","5678","socks4","34","399","2021-08-31T11:02:54.021Z","100","1","1"
"185.61.92.228","elite","AS48166","RU","Fortex Cjsc","194","Fortex","40128","socks4","44","413","2021-08-31T11:02:54.731Z","100","1","1"
"77.123.189.3","elite","AS25229","UA","Volia Lviv","201","N/A","5678","socks4","34","5001","2021-08-31T11:02:53.011Z",,,
"146.120.160.148","elite","AS60754","UA","Dianet Ltd.","187","Dianet Ltd","5678","socks4","36","729","2021-08-31T11:02:53.658Z","100","1","1"
"179.62.210.135","elite","AS27983","AR","Red Intercable Digital S.A.","202","Red Intercable Digital S.A","5678","socks4","39","N/A","2021-08-31T11:02:52.154Z",,,
"213.16.206.204","elite","AS29286","GR","FORTHNET GR","N/A","N/A","5678","socks4","36","791","2021-08-31T11:02:52.131Z","0","0","1"
"138.36.230.207","elite","AS264598","BR","Delta Telecom","190","Delta Telecom","5678","socks4","35","410","2021-08-31T11:02:52.423Z","100","1","1"
"180.210.222.249","elite","AS134128","BD","Mega Speed","261","N/A","1080","socks4","44","N/A","2021-08-31T11:02:51.221Z",,,
"177.86.217.46","elite","AS52577","BR","Vianna Mehl ServiÔos de TelecomunicaÔÔes Voip Ltda","193","Vianna Mehl Serviços de Telecomunicações Voip Ltda","5678","socks4","34","410","2021-08-31T11:02:51.157Z","100","1","1"
"219.152.171.57","elite","AS134420","CN","Chongqing Telecom","190","Chinanet CQ","5678","socks4","35","5001","2021-08-31T11:02:50.226Z",,,
"185.12.70.6","elite","AS44391","RU","JSC Elektrosvyaz","217","OJSC Elektronic Dagestan","5678","socks4","35","428","2021-08-31T11:02:50.479Z","100","1","1"
"153.36.188.80","elite","AS4837","CN","China Unicom Jiangsu Province Network","182","N/A","5678","socks4","35","5001","2021-08-31T11:02:48.388Z",,,
"168.194.44.223","elite","AS265378","BR","Orbit TelecomunicaÔÔes LTDA ME","N/A","Orbit Telecomunicações LTDA ME","5678","socks4","35","5001","2021-08-31T11:02:48.587Z",,,
"37.255.149.68","elite","AS58224","IR","Iran Telecommunication Company PJS","280","Telecomadsl","5678","socks4","35","604","2021-08-31T11:02:48.422Z","100","1","1"
"77.48.228.141","elite","AS16019","CZ","UPC Czech","182","Tomas Sladek, Moravska Nova Ves","5678","socks4","34","N/A","2021-08-31T11:02:47.300Z",,,
"210.212.68.213","elite","AS9829","IN","BSNL Internet","251","National Internet Backbone","34115","socks4","35","512","2021-08-31T11:02:47.231Z","100","1","1"
"38.100.66.26","elite","AS174","US","Cogent Communications","53","East Texas DSL","5678","socks4","34","116","2021-08-31T11:02:47.508Z","100","1","1"
"76.181.105.174","elite","AS10796","US","Charter Communications Inc","N/A","Spectrum","5678","socks4","39","5001","2021-08-31T11:02:46.427Z",,,
"202.4.107.66","elite","AS23956","BD","dhakaCom Limited","223","DhakaCom Limited","5678","socks4","37","450","2021-08-31T11:02:46.366Z","100","1","1"
"202.44.104.38","elite","AS38011","BD","GramBangla Systems Limited","263","Gbsl","5678","socks4","35","7705","2021-08-31T11:02:45.564Z","100","1","1"
"217.60.183.132","elite","AS31549","IR","Aria Shatel Company Ltd","N/A","SHATEL Network","5678","socks4","35","5004","2021-08-31T11:02:44.584Z",,,
"69.163.161.23","elite","AS26347","US","New Dream Network, LLC","20","New Dream Network, LLC","24260","socks4","34","56","2021-08-31T11:02:44.216Z","100","1","1"
"186.31.31.101","elite","AS19429","CO","ETB - Colombia","143","Netv Klaus","5678","socks4","36","293","2021-08-31T11:02:43.208Z","100","1","1"
"41.190.232.80","elite","AS37638","CD","Orioncom SPRL","282","N/A","10809","socks4","34","661","2021-08-31T11:02:42.687Z","100","1","1"
"179.57.181.127","elite","AS14117","CL","Telefonica del Sur S.A.","202","Telefonica del Sur S.A","5678","socks4","51","445","2021-08-31T11:02:42.210Z","100","1","1"
"117.196.229.86","elite","AS9829","IN","Bharat Sanchar Nigam Ltd","N/A","BSNL BBoWIFI services","5678","socks4","34","5002","2021-08-31T11:02:41.105Z",,,
"213.21.56.20","elite","AS39102","RU","Global Network Management Inc","176","Global Network Management Inc","4153","socks4","35","1","2021-08-31T11:02:41.019Z","100","1","1"
"213.74.117.167","elite","AS34984","TR","Tellcom Iletisim Hizmetleri A.S.","203","Orkabilgi","5678","socks4","34","430","2021-08-31T11:02:41.725Z","100","1","1"
"197.248.101.223","elite","AS37061","KE","Safaricom Limited","309","Safaricom Limited","5678","socks4","38","627","2021-08-31T11:02:40.389Z","100","1","1"
"209.13.96.172","elite","AS10834","AR","Telefonica de Argentina","247","Telefonica de Argentina","39921","socks4","35","3518","2021-08-31T11:02:37.411Z","100","1","1"
"201.131.214.160","elite","AS61800","BR","Utinga Net","212","N/A","5678","socks4","34","1","2021-08-31T11:02:36.830Z","100","1","1"
"117.103.81.49","elite","AS38614","BD","IDS Bangladesh","298","N/A","5678","socks4","35","575","2021-08-31T11:02:33.044Z","100","1","1"
"164.40.224.18","elite","AS212665","BA","Teledigital d.d. Sarajevo","185","Teledigital d.d. Sarajevo","5678","socks4","34","5001","2021-08-31T11:02:33.069Z",,,
"197.254.96.46","elite","AS15808","KE","AccessKenya Group","328","AccessKenya Group Ltd","5678","socks4","44","692","2021-08-31T11:02:32.030Z","100","1","1"
"117.20.60.86","elite","AS23951","ID","CITRA","227","N/A","5678","socks4","47","30001","2021-08-31T11:02:31.736Z","100","1","1"
"36.92.138.143","elite","AS7713","ID","Telekomunikasi Indonesia","263","Temporary","5678","socks4","35","N/A","2021-08-31T11:02:31.123Z",,,
"185.76.82.115","elite","AS200420","UA","CrimeaCom South LLC Customers Pool (MEGA-NET LCC)","234","CrimeaCom South LLC","5678","socks4","34","433","2021-08-31T11:02:30.080Z","100","1","1"
"201.131.214.117","elite","AS61800","BR","Utinga Net","176","N/A","5678","socks4","49","1383","2021-08-31T11:02:30.927Z","100","1","1"
"119.110.83.77","elite","AS38753","ID","PT. Solusindo Bintang Pratama","190","N/A","5678","socks4","35","1","2021-08-31T11:02:29.406Z","100","1","1"
"36.92.85.66","elite","AS7713","ID","Telekomunikasi Indonesia","358","Temporary","5678","socks4","34","5000","2021-08-31T11:02:29.975Z",,,
"212.126.119.22","elite","AS39216","IQ","ALSARD FIBER Co. Internet Fiber and Optical Cable Services /Ltd.","220","AL-SARD FIBER Co. Internet Fiber and Optical Cable Services /Ltd.","5678","socks4","34","467","2021-08-31T11:02:29.650Z","100","1","1"
"185.3.212.136","elite","AS59691","IR","Pouya shabakeh Asr Co. (LTD.)","250","Pcomtelecom Infrastructure","5678","socks4","34","1","2021-08-31T11:02:29.339Z","100","1","1"
"177.46.143.189","elite","AS28166","BR","Telecom South America S/A","211","Telecom South America S/A","5678","socks4","34","434","2021-08-31T11:02:29.679Z","100","1","1"
