ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"177.73.44.190","elite","AS52696","BR","JTR DA SILVA TECNOLOGIA ME","192","Bahia Telecom","4145","socks4","43","N/A","2021-08-31T11:31:42.002Z"
"177.200.13.31","elite","AS52775","BR","TecleNet Solucoes Tecnologicas","195","TecleNet Solucoes Tecnologicas","5678","socks4","36","5001","2021-08-31T11:31:41.715Z"
"153.36.24.158","elite","AS4837","CN","China Unicom Jiangsu Province Network","186","N/A","5678","socks4","34","5001","2021-08-31T11:31:41.125Z"
"179.124.136.229","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","151","1telecom Servicos De Tecnologia EM Internet Ltda","5678","socks4","35","N/A","2021-08-31T11:31:40.324Z"
"181.115.75.102","elite","AS14754","HN","Telgua","111","SERCOM de Honduras","5678","socks4","34","377","2021-08-31T11:31:39.621Z"
"181.118.196.97","elite","AS52405","AR","Caleta Video Cable SRL","232","Caleta Video Cable SRL","5678","socks4","34","5001","2021-08-31T11:31:38.278Z"
"222.124.34.196","elite","AS7713","ID","Telekomunikasi Indonesia","240","PT. TELKOM INDONESIA","5678","socks4","34","5001","2021-08-31T11:31:38.633Z"
"181.129.98.154","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","109","EPM Telecomunicaciones S.A. E.S.P","5678","socks4","34","N/A","2021-08-31T11:31:38.810Z"
"177.125.211.1","elite","AS262354","BR","LIGUE MÔVEL LTDA","183","LIGUE MÓVEL LTDA","5678","socks4","36","N/A","2021-08-31T11:31:36.031Z"
"177.170.30.136","elite","AS26599","BR","Vivo","219","TELEF�NICA BRASIL S.A","5678","socks4","35","N/A","2021-08-31T11:31:35.209Z"
"177.142.32.251","elite","AS28573","BR","Claro S.A.","N/A","NET Serviços de Comunicação S.A.","5678","socks4","34","N/A","2021-08-31T11:31:34.294Z"
"154.127.128.160","elite","AS36907","AO","LAD-FTTH","196","TVCabo Angola, Lda","5678","socks4","34","N/A","2021-08-31T11:31:33.846Z"
"220.247.171.154","elite","AS9341","ID","PT Indonesia Comnets Plus","225","N/A","5678","socks4","37","N/A","2021-08-31T11:31:32.808Z"
"154.127.0.251","elite","AS30844","TZ","Liquid Telecommunications Ltd","275","N/A","5678","socks4","52","620","2021-08-31T11:31:31.344Z"
"180.149.235.30","elite","AS131464","BD","Digi Jadoo Broadband Ltd","280","Digi Jadoo Broadband Ltd","5678","socks4","34","565","2021-08-31T11:31:31.408Z"
"216.80.102.142","elite","AS6079","US","RCN","84","RCN Corporation","5678","socks4","35","5001","2021-08-31T11:31:31.811Z"
"154.86.12.41","elite","AS40065","HK","HK NEW CLOUD TECHNOLOGY LIMITED","160","HK NEW Cloud Technology Limited","1080","socks4","39","314","2021-08-31T11:31:29.744Z"
"181.112.188.90","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","134","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","37","5003","2021-08-31T11:31:29.894Z"
"151.9.3.170","elite","AS1267","IT","Wind TRE S.P.A.","358","Infostrada","5678","socks4","38","5001","2021-08-31T11:31:27.173Z"
"217.219.179.52","elite","AS58224","IR","DCI","298","Medical Science Univercity Of Golestan","4153","socks4","36","N/A","2021-08-31T11:31:26.470Z"
"168.232.14.202","elite","AS264932","BR","Staynet Servicos De Internet Ltda - ME","155","Staynet Servicos De Internet Ltda - ME","1080","socks4","34","N/A","2021-08-31T11:31:24.394Z"
"167.250.194.140","elite","AS264654","CR","FIBERNET","127","FIBERNET","5678","socks4","47","240","2021-08-31T11:31:23.712Z"
"177.124.225.106","elite","AS17222","BR","Mundivox LTDA","193","Mundivox LTDA","4145","socks4","36","5000","2021-08-31T11:31:23.657Z"
"213.153.221.231","elite","AS34984","TR","Tellcom Main Network Statement","224","N/A","5678","socks4","46","5002","2021-08-31T11:31:23.794Z"
"163.47.145.195","elite","AS38203","BD","ADN Telecom Limited","256","ADN Telecom Ltd.","5678","socks4","37","N/A","2021-08-31T11:31:22.983Z"
"165.90.60.69","elite","AS37675","ZA","SkyWire (PTY) LTD","294","N/A","4145","socks4","35","N/A","2021-08-31T11:31:20.400Z"
"168.194.84.222","elite","AS265386","BR","jose nilton de freitas e cia ltda","208","jose nilton de freitas e cia ltda","43177","socks4","36","5001","2021-08-31T11:31:19.123Z"
"159.242.117.75","elite","AS51043","GB","Aspire Technology Solutions Ltd","N/A","Aspire Technology Solutions Ltd","5678","socks4","43","5002","2021-08-31T11:31:19.713Z"
"177.137.173.158","elite","AS263066","BR","RVNet - R V PORTELA AGUIAR & CIA LTDA","173","RVNet - R V PORTELA AGUIAR & CIA LTDA","5678","socks4","34","N/A","2021-08-31T11:31:18.174Z"
"177.144.128.177","elite","AS27699","BR","Vivo","214","TELEF�NICA BRASIL S.A","5678","socks4","35","N/A","2021-08-31T11:31:16.398Z"
"222.97.87.129","elite","AS4766","KR","Korea Telecom","121","Korea Telecom","5678","socks4","34","N/A","2021-08-31T11:31:16.464Z"
"14.102.69.242","elite","AS18002","IN","WORLDPHONE","251","N/A","5678","socks4","35","N/A","2021-08-31T11:31:15.442Z"
"217.66.196.248","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","376","Fanaptelecom Network","5678","socks4","38","5001","2021-08-31T11:31:15.866Z"
"14.18.46.62","elite","AS58466","CN","CHINANET Guangdong province network","162","Chinanet GD","5678","socks4","36","5001","2021-08-31T11:31:14.340Z"
"170.0.202.6","elite","AS263427","BR","Carlos Henrique Santos de Oliveira ME","137","Carlos Henrique Santos de Oliveira ME","1080","socks4","39","N/A","2021-08-31T11:31:13.390Z"
"168.181.121.197","elite","AS264847","HN","Enred S.de.R.L","111","Enred S.de.R.L","57010","socks4","35","N/A","2021-08-31T11:31:11.014Z"
"191.189.31.209","elite","AS28573","BR","Claro S.A.","245","Claro S.A","5678","socks4","35","5001","2021-08-31T11:31:08.203Z"
"168.227.158.5","elite","AS52898","BR","Multipla ServiÔos Inteligentes","185","Multipla Serviços Inteligentes","4145","socks4","48","N/A","2021-08-31T11:31:08.698Z"
"190.85.60.106","elite","AS14080","CO","Telmex Colombia S.A.","114","Telmex Colombia S.A","5678","socks4","38","N/A","2021-08-31T11:31:08.767Z"
"14.232.155.150","elite","AS45899","VN","VNPT","178","Vietnam Posts and Telecommunications Group","5678","socks4","35","5001","2021-08-31T11:31:07.081Z"
"118.127.117.214","elite","AS9336","AU","Spirit Telecom (Australia) Pty Ltd","167","N/A","5678","socks4","36","5001","2021-08-31T11:31:07.852Z"
"154.64.218.149","elite","AS21559","US","OSNet Wireless","118","Cogent Communications","5678","socks4","47","1641","2021-08-31T11:31:04.291Z"
"190.92.80.36","elite","AS27884","HN","Cablecolor S.A.","109","Cablecolor S.A","5678","socks4","37","N/A","2021-08-31T11:31:02.348Z"
