ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"80.210.22.50","elite","AS58224","IR","TIC","234","Telecommunication Company of Tehran","5678","socks4","44","N/A","2021-08-31T11:09:13.993Z"
"61.167.247.162","elite","AS4837","CN","CNC Group CHINA169 Heilongjiang Province Network","183","N/A","5678","socks4","51","5001","2021-08-31T11:09:12.695Z"
"41.175.23.2","elite","AS30844","ZM","Liquid Telecommunications Ltd","331","Liquid Telecommunications Operations Limited","5678","socks4","32","5002","2021-08-31T11:09:12.253Z"
"82.137.250.157","elite","AS29256","SY","190 Internet Service Provider","222","N/A","1099","socks4","35","440","2021-08-31T11:09:10.263Z"
"83.215.195.228","elite","AS8445","AT","SALZBURG-AG","178","Salzburg AG","5678","socks4","35","N/A","2021-08-31T11:09:09.083Z"
"85.117.62.202","elite","AS20771","GE","Caucasus Online Ltd.","233","Caucasus","61885","socks4","59","471","2021-08-31T11:09:08.285Z"
"5.10.230.102","elite","AS3194","IQ","SatGate Company for Trading of Computers Systems and Communications Appliances","235","SatGate Company Trading of Computers Systems and Communications Appliances WLL","5678","socks4","29","481","2021-08-31T11:09:07.050Z"
"41.162.91.202","elite","AS36937","ZA","Neotel GAU","306","N/A","5678","socks4","29","627","2021-08-31T11:09:06.168Z"
"85.118.99.237","elite","AS34797","GE","EGRISI","223","JSC Egrisi","5678","socks4","28","444","2021-08-31T11:09:06.990Z"
"217.66.237.103","elite","AS12975","PS","Paltel-DSL","475","N/A","5678","socks4","34","5003","2021-08-31T11:09:05.771Z"
"86.122.49.180","elite","AS8708","RO","RCS & RDS","1426","RCS & RDS Business","5678","socks4","29","377","2021-08-31T11:09:05.784Z"
"41.190.233.30","elite","AS37638","CD","Orioncom SPRL","282","N/A","10801","socks4","34","N/A","2021-08-31T11:09:04.522Z"
"83.35.62.70","elite","AS3352","ES","Telefonica de Espana SAU","186","RIMA (Red IP Multi Acceso)","5678","socks4","32","N/A","2021-08-31T11:09:03.531Z"
"85.13.76.137","elite","AS25512","CZ","CD-Telematika a.s.","178","Weichsel CDT","5678","socks4","42","N/A","2021-08-31T11:09:02.611Z"
"45.123.3.221","elite","AS132556","IN","Blue Lotus Support Services Pvt Ltd","251","Blue Lotus Support Services Pvt Ltd","5678","socks4","40","N/A","2021-08-31T11:09:01.711Z"
