ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"80.76.236.66","elite","AS39156","RU","First Telecom Ltd","188","First Telecom, Ltd.","3629","socks4","43","N/A","2021-08-31T11:01:19.384Z"
"177.128.58.254","elite","AS52638","BR","Mundo SIM","184","Mundo SIM","5678","socks4","38","370","2021-08-31T11:01:19.135Z"
"114.199.103.62","elite","AS24525","ID","PT. Solusi Aksesindo Pratama","207","N/A","5678","socks4","34","426","2021-08-31T11:01:19.077Z"
"103.70.171.174","elite","AS64037","BD","EB Solutions Ltd","237","E.B Solutions Ltd","5678","socks4","35","484","2021-08-31T11:01:19.887Z"
"103.126.217.41","elite","AS138482","BD","Skyview Online Limited","235","Skyview Online Limited","8772","socks4","49","484","2021-08-31T11:01:19.891Z"
"113.18.255.68","elite","AS9808","CN","China Unicom Zhejiang Province network","197","FuJian Internet Communications Co., LTD.","5678","socks4","61","1","2021-08-31T11:01:19.370Z"
"72.250.153.47","elite","AS11961","US","Mid-Rivers Telephone Cooperative","42","Mid-Rivers Telephone Cooperative, Inc.","6001","socks4","42","131","2021-08-31T11:01:19.814Z"
"185.125.251.78","elite","AS49100","IR","PTE","240","N/A","5678","socks4","35","479","2021-08-31T11:01:19.510Z"
"164.163.221.61","elite","AS267455","BR","Fibracom Telecomunicacoes E Servicos Eireli - ME","230","Fibracom Telecomunicacoes E Servicos Eireli - ME","5678","socks4","55","30008","2021-08-31T11:01:19.575Z"
"180.250.197.138","elite","AS7713","ID","PT. TELKOM INDONESIA","198","N/A","5678","socks4","36","1","2021-08-31T11:01:19.676Z"
"43.245.218.248","elite","AS24492","KH","WiCAM Corporation Ltd","193","WiCAM Corporation Ltd.","5678","socks4","34","384","2021-08-31T11:01:19.231Z"
"14.102.64.209","elite","AS18002","IN","WORLDPHONE","259","N/A","60616","socks4","60","30013","2021-08-31T11:01:19.770Z"
"117.2.18.50","elite","AS7552","VN","Viettel Corporation","317","N/A","5678","socks4","65","1","2021-08-31T11:01:19.951Z"
"202.44.192.218","elite","AS4618","TH","Internet Thailand Company Ltd","207","Internet Thailand Company Limited","5678","socks4","37","18098","2021-08-31T11:01:19.669Z"
"181.113.121.30","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","N/A","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","44","262","2021-08-31T11:01:19.748Z"
"185.8.14.30","elite","AS61345","TR","Flynet","238","N/A","5678","socks4","34","481","2021-08-31T11:01:18.642Z"
"43.247.137.8","elite","AS55352","IN","Microscan Entertainment Pvt. Ltd","239","Microscan Entertainment Pvt. Ltd","5678","socks4","51","1","2021-08-31T11:01:18.281Z"
"80.90.88.95","elite","AS35444","AL","Digicom Business Customers88","2791","N/A","5678","socks4","35","5000","2021-08-31T11:01:18.500Z"
"103.124.136.99","elite","AS138089","ID","Global Media Data Prima","203","N/A","5678","socks4","33","1","2021-08-31T11:01:18.478Z"
"114.7.124.134","elite","AS4761","ID","PT. INDOSAT Tbk","213","PT. INDOSAT Tbk","5678","socks4","42","412","2021-08-31T11:01:18.379Z"
"103.76.190.37","elite","AS135758","IN","Alacriy Net System Service Private Limited","255","Alacriy Net System Service Private Limited","31756","socks4","86","1529","2021-08-31T11:01:18.133Z"
