ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"83.218.177.90","elite","AS31543","AT","myNet Internet Solutions","221","myNET Internet Solutions","5678","socks4","34","5001","2021-08-31T11:05:59.256Z"
"219.152.171.77","elite","AS134420","CN","Chongqing Telecom","192","Chinanet CQ","5678","socks4","34","5005","2021-08-31T11:05:54.999Z"
"85.113.7.126","elite","AS12997","KG","OJSC Kyrgyztelecom","245","N/A","5678","socks4","38","5001","2021-08-31T11:05:53.596Z"
"185.118.73.36","elite","AS47406","IT","ERRE ELLE NET s.r.l.","171","Broadband Pratiglione","5678","socks4","36","5001","2021-08-31T11:05:53.043Z"
"103.137.39.186","elite","AS138822","ID","PT Jaya Komunikasi Indonesia","237","N/A","5678","socks4","41","447","2021-08-31T11:05:51.459Z"
"217.64.29.139","elite","AS28787","AZ","Bakinternet ISP","221","N/A","5678","socks4","34","461","2021-08-31T11:05:49.357Z"
"103.129.234.17","elite","AS137627","IN","Nextel Communications India Pvt Ltd","255","Nextel Communications India Pvt Ltd","5678","socks4","38","N/A","2021-08-31T11:05:49.930Z"
"213.76.114.106","elite","AS5617","PL","Orange Polska Spolka Akcyjna","175","Orange Polska S.A.","5678","socks4","37","N/A","2021-08-31T11:05:48.133Z"
"103.135.7.166","elite","AS38320","ID","IDNIC-WIJAYALESTARI","184","CV. CAHAYA WIJAYA LESTARI","5678","socks4","34","N/A","2021-08-31T11:05:47.314Z"
"185.141.37.139","elite","AS202391","IR","Cooperative Afra ertebatat-e-sabet-e Rasa Co","N/A","Information Processing Industry Company PJS","5678","socks4","62","230","2021-08-31T11:05:47.430Z"
"216.104.207.2","elite","AS29039","UG","Africa Online Uganda","286","Iwayafrica Uganda Limited","5678","socks4","36","5001","2021-08-31T11:05:47.325Z"
"45.122.56.195","elite","AS133797","ID","ACSATA","191","N/A","5678","socks4","32","5003","2021-08-31T11:05:46.252Z"
"103.122.104.82","elite","AS131111","ID","PT. Indopilar Karya Pratama","187","N/A","5678","socks4","30","5002","2021-08-31T11:05:46.446Z"
"103.132.217.215","elite","AS138557","BD","NET CONNECT","261","NET CONNECT","5678","socks4","29","N/A","2021-08-31T11:05:40.764Z"
